"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"San Antonio Sink","1172	","New Mexico","SNOTEL","Rio Arriba","9100","36.8622","-106.22502","130100050301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"45","42","62","14","15","-7","10","10","2","2nd Lowest",,,"11","12","0","22","2017","2020","11"
"Sand Lake","731	","Wyoming","SNOTEL","Carbon","10050","41.46257","-106.28107","101800040101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","35",,,"90","95","83","29","31","-2","33","13","7",,,,"39","37","28","57","2014, 2020","2010","19"
"Sandstone RS","732	","Wyoming","SNOTEL","Carbon","8150","41.11172","-107.1706","140500030208	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"43","60","86","16","22","-8","17","16","4",,,,"28","20","8","112","2014","2005, 2007","19"
"Santa Fe","922	","New Mexico","SNOTEL","Santa Fe","11445","35.76694","-105.78333","130202010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"19","18","60","4","6","-14","10","19","3",,,,"16","17","0","32","2010, 2017","2015","21"
"Santaquin Meadows","1280	","Utah","SNOTEL","Utah","7835","39.92076","-111.71802","160202010301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"69","69","69","17","18","-5","40","4","3",,,,"16","16","0","30","2017","2018","6"
"Santiam Jct.","733	","Oregon","SNOTEL","Linn","3740","44.43503","-121.94502","170900040201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"11","10","0","32","2014","2016","17"
"Sargents Mesa","1128	","Colorado","SNOTEL","Saguache","11530","38.28555","-106.37069","130100040306	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"20","21","75","6","6","-11","0","14","1","Lowest",,,"15","14","3","28","2021","2019","14"
"Sasse Ridge","734	","Washington","SNOTEL","Kittitas","4340","47.38485","-121.06323","170300010104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","28",,,"97","100","100","28","29","0","50","11","11",,,,"29","28","4","65","2002","2006","21"
"Satus Pass","1231	","Washington","SNOTEL","Klickitat","3960","45.98797","-120.67734","170701060301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"143","167","100","29","32","4","67","4","7",,,,"7","6","0","15","2014","2016","10"
"Savage Pass","735	","Idaho","SNOTEL","Idaho","6190","46.46633","-114.63333","170603030208	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"29","27","21","43","2020","2003","19"
"Sawmill Ridge","1068	","Washington","SNOTEL","King","4640","47.15992","-121.42172","171100130104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","20",,,"83","100","91","19","20","0","53","8","8",,,,"24","20","3","60","2014","2016","16"
"Sawtooth","1251	","Colorado","SNOTEL","Boulder","9620","40.13697","-105.58625","101900050102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"85","96","85","27","27","-1","43","5","4",,,,"26","23","15","41","2017","2019","8"
"Schneider Meadows","736	","Oregon","SNOTEL","Baker","5400","45.00107","-117.16522","170502010603	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"121","142","100","39","42","10","78","6","18",,,,"28","24","13","58","2014, 2017","2001","24"
"Schofield Pass","737	","Colorado","SNOTEL","Gunnison","10700","39.01522","-107.04877","140100040701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","35",,,"90","90","81","33","36","-4","39","15","10",,,,"39","39","21","67","1999, 2017","2009","24"
"Schwartz Lake","915	","Idaho","SNOTEL","Lemhi","8630","44.84618","-113.83732","170602040604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"73","79","100","24","23","-3","27","9","2","2nd Lowest",,,"15","14","10","23","2011","2015","12"
"Schweitzer Basin","738	","Idaho","SNOTEL","Bonner","6090","48.37428","-116.63917","170102150502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","38",,,"86","97","100","27","28","-1","45","12","8",,,,"44","39","18","73","2014","2012","21"
"Scotch Creek","739	","Colorado","SNOTEL","Dolores","9100","37.64556","-108.00786","140300020204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"73","79","65","18","23","-3","21","16","5",,,,"15","14","0","30","2017","2009","20"
"Secesh Summit","740	","Idaho","SNOTEL","Valley","6540","45.18848","-115.97152","170501230101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","33",,,"118","127","100","38","38","7","83","4","15",,,,"28","26","19","47","2011, 2017","2012","19"
"Sedgwick Peak","741	","Idaho","SNOTEL","Bannock","7850","42.52497","-111.95635","170402080209	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"20","18","13","29","2020","2019","5"
"Seeley Creek","742	","Utah","SNOTEL","Sanpete","9904","39.31042","-111.43297","140600090203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"54","47","88","15","15","-8","14","19","4",,,,"13","15","0","27","2017","2004","22"
"Seine Creek","743	","Oregon","SNOTEL","Washington","2060","45.52688","-123.29857","170900100203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"700",,"100","54","58","7","100","1","19","Highest",,,"1","0","0","7","2018, 2019, 2020, more","2005, 2008, 2021","21"
"Senorita Divide #2","744	","New Mexico","SNOTEL","Rio Arriba","8600","36.00198","-106.83348","130202020102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"14","14","50","3","3","-6","15","18","3",,,,"7","7","0","18","2010, 2017","2007","21"
"Sentinel Butte","1043	","Washington","SNOTEL","Ferry","4680","48.86133","-118.39843","170200021705	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"108","108","100","35","35","1","72","6","12",,,,"13","13","5","18","2014","2015","19"
"Sevenmile Marsh","745	","Oregon","SNOTEL","Klamath","5700","42.69825","-122.14165","180102030104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","25",,,"125","132","100","31","31","6","60","7","10",,,,"20","19","4","37","2014","2015","16"
"Seventysix Creek","746	","Nevada","SNOTEL","Elko","7350","41.73732","-115.47215","170501020108	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"13","12","2","28","2017","2001","22"
"Shanghi Summit","747	","Idaho","SNOTEL","Clearwater","4600","46.56603","-115.74216","170603060402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","36",,,"164","180","100","46","45","16","91","3","21",,,,"22","20","1","53","2014","2001","23"
"Sharkstooth","1060	","Colorado","SNOTEL","Montezuma","10720","37.50357","-108.11373","140300020206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"86","86","75","24","28","-3","38","11","7",,,,"21","21","2","42","2017","2009","17"
"Shedin Creek","4B16P	","British Columbia","Cooperator Snow Sensors","	","4331","55.85","-127.68333","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"41","38","22","69","2016","2008","24"
"Sheep Canyon","748	","Washington","SNOTEL","Cowlitz","3990","46.19325","-122.25393","170800050601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","41",,,"146","146","100","35","32","13","88","3","14",,,,"28","28","0","73","2014","2016","17"
"Sheep Mtn.","749	","Idaho","SNOTEL","Bingham","6650","43.2103","-111.68792","170402050304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"13","14","5","21","2017","2016","10"
"Sheldon","750	","Nevada","SNOTEL","Washoe","5865","41.90435","-119.44464","171200080106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"200","200","100","40","50","1","86","4","14",,,,"1","1","0","3","2013, 2016, 2017, more","2018, 2019, 2020","22"
"Shell Creek","751	","Wyoming","SNOTEL","Big Horn","9580","44.50012","-107.42947","100800100101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"89","83","96","35","35","-5","28","14","4",,,,"27","29","15","36","2015","2008","19"
"Sherman Valley AM","1219	","Oregon","SNOLITE","Lake","6630","42.3572","-120.22522","171200070401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"75","86","100","20","21","-1","33","7","2","2nd Lowest",,,"8","7","5","17","2013","2019","10"
"Sherwin","752	","Idaho","SNOTEL","Latah","3200","46.95028","-116.33972","170103040703	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"225","300","100","50","47","12","86","2","7","2nd Highest",,,"8","6","1","20","2014","2016","8"
"Short Creek","753	","Montana","SNOTEL","Madison","7000","44.97572","-111.95215","100200030106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"25","25","20","8","8","-6","0","19","1","Lowest",,,"8","8","2","13","2021","2010","19"
"Shower Falls","754	","Montana","SNOTEL","Gallatin","8100","45.40125","-110.95758","100200081001	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"75","77","89","27","29","-7","21","16","3",,,,"32","31","20","47","2002","2005","20"
"Shuree","1169	","New Mexico","SNOTEL","Colfax","10100","36.78778","-105.23999","130201010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"9","8","0","16","2010","2015","11"
"Sierra Blanca","1034	","New Mexico","SNOTEL","Lincoln","10280","33.40472","-105.78722","130600080103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"11","17","50","3","3","-5","21","16","4",,,,"9","6","0","24","2005, 2010, 2014","2004, 2011","20"
"Signal Peak","755	","New Mexico","SNOTEL","Grant","8360","32.92401","-108.14538","150400010803	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"25","50","50","7","7","-1","42","12","8",,,,"4","2","0","24","2018, 2019, 2020, more","2011","20"
"Silver Creek","756	","Oregon","SNOTEL","Lake","5740","42.95615","-121.18123","171200050206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"178","200","100","44","50","8","84","4","17",,,,"9","8","0","27","2002, 2014","2001","20"
"Silver Creek Divide","757	","New Mexico","SNOTEL","Catron","9000","33.37106","-108.70618","150400040605	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"67","80","100","11","13","-1","45","12","9",,,,"6","5","0","19","2001, 2010, 2017","2011","21"
"Silver Creek Nv","1205	","Nevada","SNOTEL","White Pine","8200","39.23305","-114.2429","160203010806	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"5","5","0","11","2017","2013","9"
"Silvies","759	","Oregon","SNOTEL","Harney","6990","42.75333","-118.68785","171200030201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"75","75","100","16","19","-3","35","16","9",,,,"12","12","1","24","2002","2001","24"
"Skalkaho Summit","760	","Montana","SNOTEL","Granite","7250","46.24212","-113.7725","170102021003	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"64","67","100","22","21","-8","11","18","2","2nd Lowest",,,"25","24","14","36","2002","2003, 2007","20"
"Skate Creek","1257	","Washington","SNOTEL","Lewis","3770","46.64336","-121.83044","170800040505	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","39",,,"162","177","100","45","44","17","86","2","7","2nd Highest",,,"24","22","0","55","2014","2016","8"
"Skookum Creek","912	","Washington","SNOTEL","King","3310","47.68433","-121.61007","171100100503	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","26",,,"144","137","100","27","27","7","88","3","14",,,,"18","19","0","54","2014","2016","18"
"Slagamelt Lakes","1286	","Montana","SNOTEL","Beaverhead","8620","45.36526","-113.71834","100200040308	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"117","117","100","38","38","5","100","1","2","2nd Lowest",,,"29","29","24","34","2020","2021","2"
"Sleeping Woman","783	","Montana","SNOTEL","Sanders","6150","47.17902","-114.33368","170102120708	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"112","106","100","34","33","1","58","9","11",,,,"17","18","10","24","2020","2005","20"
"Slug Creek Divide","761	","Idaho","SNOTEL","Caribou","7225","42.56248","-111.29797","170402070201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"38","38","86","11","11","-10","5","19","2","2nd Lowest",,,"16","16","4","25","2007","2003, 2019","20"
"Slumgullion","762	","Colorado","SNOTEL","Hinsdale","11560","37.9908","-107.20327","140200020502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"54","54","76","22","22","-11","6","18","2","2nd Lowest",,,"24","24","8","39","2017","2007","19"
"Smiley Mountain","926	","Idaho","SNOTEL","Custer","9520","43.72718","-113.83402","170402180102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","39",,,"144","150","100","52","55","13","95","2","20","2nd Highest",,,"27","26","13","50","2018","2012","21"
"Smith  Morehouse","763	","Utah","SNOTEL","Summit","7631","40.78931","-111.09192","160201010203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"69","73","79","22","23","-4","19","22","4",,,,"16","15","6","29","2017","2009","27"
"Smith Creek","1235	","Nevada","SNOLITE","Elko","7588","40.4467","-115.5114","160401030403	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"8","7","17","2","2","-13","0","9","1","Lowest",,,"13","14","1","25","2021","2015","9"
"Smith Ridge","1167	","Oregon","SNOTEL","Linn","3270","44.30325","-122.04053","170900040203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"320","1,600","100","44","42","15","80","3","9",,,,"5","1","0","21","2014, 2018, 2019, more","2016","11"
"Snake River Station","764	","Wyoming","SNOTEL","Teton","6920","44.13361","-110.66917","170401010402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"23","24","15","32","2008","2016","16"
"Snider Basin","765	","Wyoming","SNOTEL","Sublette","8060","42.4949","-110.53203","140401010906	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"6","6","33","2","2","-17","0","20","1","Lowest",,,"18","18","1","28","2021","2010","20"
"Snow Mountain","767	","Oregon","SNOTEL","Harney","6230","43.94885","-119.54013","171200020501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"44","44","100","11","11","-5","24","14","4",,,,"9","9","1","21","2008, 2017","2015","18"
"Snowbird","766	","Utah","SNOTEL","Salt Lake","9177","40.56914","-111.65852","160202040202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"65","69","65","19","20","-10","11","18","3",,,,"34","32","17","66","2017","2004","20"
"Snowslide Canyon","927	","Arizona","SNOTEL","Coconino","9730","35.3416","-111.65058","150200160201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-14","4","23","1","Lowest",,,"17","14","0","39","2017, 2021","2007","24"
"Snowstorm Mtn","1208	","Nevada","SNOTEL","Elko","7403","41.33981","-116.98044","160401090203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"31","29","40","9","10","-10","0","10","1","Lowest",,,"13","14","4","20","2021","2015, 2016, 2019","10"
"Soldier Park","1132	","Wyoming","SNOTEL","Johnson","8720","44.34847","-107.0136","100902060103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-8","0","12","1","Lowest",,,"8","8","0","16","2021","2011","12"
"Soldier R.S.","769	","Idaho","SNOTEL","Camas","5740","43.48407","-114.82692","170402200303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"100","108","100","32","35","1","59","10","13",,,,"14","13","2","34","2013, 2017","2001","23"
"Somsen Ranch","770	","Idaho","SNOTEL","Caribou","6800","42.95275","-111.35933","170402070101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"43","43","100","13","12","-8","0","17","1","Lowest",,,"14","14","6","20","2021","2005","17"
"Sonora Pass","771	","California","SNOTEL","Mono","8770","38.31021","-119.6003","160503020104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"21","19","6","38","2008","2001","23"
"Sourdough Gulch","985	","Washington","SNOTEL","Asotin","4000","46.23718","-117.39438","170601030202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"100","150","75","23","30","1","71","7","13",,,,"3","2","0","10","2011, 2014, 2017, more","2008","22"
"South Brush Creek","772	","Wyoming","SNOTEL","Carbon","8440","41.32943","-106.50248","101800020303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"54","81","81","18","28","-3","35","12","7",,,,"24","16","10","150","2014, 2020","2005","18"
"South Colony","773	","Colorado","SNOTEL","Custer","10800","37.96811","-105.53787","110200011206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"50","57","80","12","16","-9","24","14","4",,,,"24","21","5","58","2017","2007","18"
"South Fork Bull Run","925	","Oregon","SNOTEL","Clackamas","2690","45.44575","-122.03125","170800010504	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"200","500","100","29","33","8","79","6","20",,,,"5","2","0","19","2014, 2018, 2019, more","2005","25"
"South Mtn.","774	","Idaho","SNOTEL","Owyhee","6500","42.76478","-116.90037","170501080205	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"14","15","100","4","4","-11","4","23","1","Lowest",,,"14","13","2","37","2017, 2021","2001","24"
"South Pass","775	","Wyoming","SNOTEL","Fremont","9040","42.57317","-108.84325","100800030101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"41","43","75","14","14","-12","0","19","1","Lowest",,,"22","21","9","39","2021","2004","19"
"Spencer Meadow","776	","Washington","SNOTEL","Skamania","3400","46.1795","-121.92661","170800020108	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","28",,,"140","147","100","32","32","9","87","3","14",,,,"20","19","0","49","2014","2016","16"
"Spirit Lake","777	","Washington","SNOTEL","Skamania","3520","46.26113","-122.1772","170800050502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"343","1,200","100","86","86","22","93","2","15","2nd Highest",,,"7","2","0","30","2010, 2014, 2019","2016","16"
"Spirit Lk","1117	","Utah","SNOTEL","Daggett","10235","40.83868","-110.00527","140401060501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"39","39","58","13","12","-11","0","13","1","Lowest",,,"18","18","7","33","2021","2019","13"
"Spratt Creek","778	","California","SNOTEL","Alpine","6063","38.66627","-119.81741","160502010107	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"300","375","100","47","50","11","95","2","22","2nd Highest",,,"5","4","0","20","2014, 2016, 2017, more","2009","23"
"Spring Creek","2044	","Alaska","SNOTEL","Matanuska-Susitna","580","61.65722","-149.12853","190204020709	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"140","117","70","78","78","1","67","2","3","2nd Highest",,,"5","6","0","9","2019","2018","4"
"Spring Creek Divide","779	","Wyoming","SNOTEL","Sublette","9000","42.52516","-110.66148","140401011001	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"67","69","100","24","25","-10","0","20","1","Lowest",,,"33","32","22","48","2021","2010","20"
"Spruce Springs","984	","Washington","SNOTEL","Garfield","5700","46.18287","-117.54155","170601030201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"93","100","100","24","25","0","52","11","11",,,,"14","13","4","40","2002, 2017","2001","22"
"Spud Mountain","780	","Colorado","SNOTEL","San Juan","10660","37.69866","-107.77715","140801040202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"89","109","80","26","30","2","62","7","11",,,,"27","22","1","60","2017","2007","17"
"Spur Park","781	","Montana","SNOTEL","Judith Basin","8100","46.77962","-110.62165","100401030301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"72","81","100","27","27","-5","5","22","1","Lowest",,,"29","26","21","42","2002, 2021","2005, 2013","23"
"Spuzzum Creek","1D19P	","British Columbia","Cooperator Snow Sensors","	","3927","49.65","-121.65","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"51","44","7","147","2014","2003","17"
"Squamish Upper","3A25P	","British Columbia","Cooperator Snow Sensors","	","4551","50.15","-123.43333","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"58","63","23","104","2014","2006","21"
"Squaw Flat","782	","Idaho","SNOTEL","Adams","6240","44.77091","-116.24805","170501240401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"23","20","12","49","2014","2015","19"
"St. Lawrence Alt","786	","Wyoming","SNOTEL","Fremont","8620","43.03313","-109.17025","100800020105	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-8","0","18","1","Lowest",,,"8","8","0","15","2021","2004","18"
"Stag Mountain","1203	","Nevada","SNOTEL","Elko","7640","41.408","-115.4464","170501020101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"6","3","0","14","2013","2016","9"
"Stahl Peak","787	","Montana","SNOTEL","Lincoln","6030","48.90902","-114.86298","170101010801	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","47",,,"109","107","100","41","42","3","61","8","12",,,,"43","44","25","63","2011","2016","19"
"Stampede Pass","788	","Washington","SNOTEL","King","3850","47.27427","-121.34162","171100130103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","36",,,"144","138","95","36","35","10","89","3","16",,,,"25","26","7","62","2004","2003","19"
"Starr Ridge","789	","Oregon","SNOTEL","Grant","5250","44.26423","-119.02162","171200020102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"86","100","100","21","23","0","50","9","9",,,,"7","6","2","13","2012, 2017","2005, 2016","17"
"State Line","1258	","California","SNOTEL","Modoc","5680","41.98609","-120.71574","180102040201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"200","250","100","43","48","6","100","1","8","Highest",,,"5","4","0","10","2014, 2017","2021","8"
"State Line AM","993	","California","SNOLITE","Modoc","5680","41.9869","-120.7151","180102040201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"143","143","100","67","67","3","100","1","2","2nd Lowest",,,"7","7","4","10","2020","2021","2"
"Steel Creek Park","790	","Utah","SNOTEL","Summit","10158","40.90862","-110.50462","140401070203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"57","57","76","20","20","-10","0","23","1","Lowest",,,"23","23","13","34","2021","2019","23"
"Stevens Pass","791	","Washington","SNOTEL","King","3950","47.74607","-121.09288","171100090102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"35","34","10","69","2014","2003","19"
"Stickney Mill","792	","Idaho","SNOTEL","Custer","7430","43.86117","-114.20902","170402180303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"142","155","100","55","57","6","86","2","7","2nd Highest",,,"12","11","8","20","2013, 2018","2012","8"
"Stillwater Creek","793	","Colorado","SNOTEL","Grand","8720","40.22543","-105.91977","140100010306	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"18","31","100","8","11","-9","6","17","2","2nd Lowest",,,"22","13","2","190","2020","2007","18"
"Strawberry","794	","Oregon","SNOTEL","Lake","5770","42.12587","-120.8361","180102040501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"160","267","100","44","47","5","81","5","18",,,,"5","3","0","22","2002, 2008","2001","22"
"Strawberry Divide","795	","Utah","SNOTEL","Wasatch","8123","40.16483","-111.20665","140600040103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"61","58","73","20","20","-8","11","17","3",,,,"18","19","2","28","2017","2004, 2009","19"
"Stringer Creek","1009	","Montana","SNOTEL","Meagher","6550","46.9269","-110.90198","100301030801	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"35","40","100","12","12","-9","0","21","1","Lowest",,,"17","15","6","38","2021","2005","21"
"Stuart Mountain","901	","Montana","SNOTEL","Missoula","7400","46.99523","-113.92664","170102040102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","40",,,"111","105","100","40","40","2","63","8","12",,,,"36","38","17","51","2002","2010","20"
"Stump Lakes","797	","Colorado","SNOTEL","San Juan","11200","37.47621","-107.63295","140801040702	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"59","71","85","21","24","-7","14","19","4",,,,"29","24","6","128","2017","2000","22"
"Sucker Creek","798	","Wyoming","SNOTEL","Sheridan","8880","44.7225","-107.40033","100901010203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"80","89","94","26","28","-2","17","16","4",,,,"20","18","11","30","2015","2008","19"
"Sugarloaf Mtn","1095	","Alaska","SNOTEL","Valdez-Cordova","550","61.081","-146.2995","190202011101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","26",,,"90","87","87","32","34","-4","43","9","7",,,,"29","30","10","57","2014","2011","15"
"Summer Rim","800	","Oregon","SNOTEL","Lake","7080","42.6957","-120.80158","180102020103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"44","44","100","13","13","-9","24","14","4",,,,"16","16","3","33","2008","2005","18"
"Summit Creek","955	","Alaska","SNOTEL","Kenai Peninsula","1400","60.61713","-149.53128","190203020401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","23",,,"135","128","85","53","53","5","79","5","16",,,,"17","18","4","38","2014","2011","20"
"Summit Lake","801	","Oregon","SNOTEL","Klamath","5610","43.44907","-122.13808","170703020203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","43",,,"148","172","100","41","39","18","87","3","14",,,,"29","25","8","59","2014","2015","16"
"Summit Lk","1194	","Nevada","SNOTEL","Humboldt","7615","41.48953","-118.99663","160402021301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"36","36","100","12","11","-7","10","10","2","2nd Lowest",,,"11","11","2","22","2017","2019","11"
"Summit Meadow","1052	","California","SNOTEL","Alpine","9313","38.39747","-119.53522","160503020203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"112","112","100","25","26","2","56","9","11",,,,"17","17","1","32","2006","2004","19"
"Summit Ranch","802	","Colorado","SNOTEL","Summit","9400","39.71796","-106.15802","140100020502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"31","31","71","7","10","-11","6","18","2","2nd Lowest",,,"16","16","4","31","2017","2005","19"
"Sun Pass","1078	","Oregon","SNOTEL","Klamath","5400","42.78637","-121.97715","180102010602	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"169","157","100","37","37","8","93","2","13","2nd Highest",,,"13","14","0","31","2014","2015","16"
"Sunflower Flat","1249	","Utah","SNOTEL","Garfield","10018","38.048","-111.33981","140700030406	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"100","100","75","26","29","0","62","4","5",,,,"12","12","0","30","2017","2013","9"
