"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","14",,,"45","48","100","17","18","-15","0","19","1","Lowest",,,"31","29","14","49","2021","2017","19"
"Beartown","327	","Colorado","SNOTEL","Mineral","11600","37.71409","-107.51212","130100010104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"5","5","11","1","1","-20","0","22","1","Lowest",,,"21","21","1","43","2021","2004","22"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8500","39.59917","-106.51142","140100030301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"12","12","3","21","2017","2005","17"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"63","67","92","19","19","-6","11","18","2","2nd Lowest",,,"19","18","6","33","2020","2005","20"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"12","10","14","2","3","-9","24","14","5",,,,"8","10","0","21","2012, 2017, 2020, more","2018","18"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"33","40","44","9","10","-6","0","21","1","Lowest",,,"12","10","4","25","2021","2001","21"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","7990","33.69144","-109.21657","150601010107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-1","35","14","1","Lowest",,,"2","1","0","11","2017, 2020, 2021, more","2004","21"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","16",,,"57","55","67","14","14","-13","26","15","6",,,,"28","29","0","59","2002","2006","20"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"14","14","25","3","3","-6","12","15","2","2nd Lowest",,,"7","7","0","15","2012","2010","17"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9200","36.32678","-109.05711","140802040401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","42","8","1","Lowest",,,"4","4","0","10","2017, 2020, 2021, more","2013","13"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"22","25","67","4","4","-12","4","24","1","Lowest",,,"18","16","4","50","2007, 2021","2001","25"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-11","5","20","1","Lowest",,,"12","11","0","40","2008, 2021","2001","21"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"69","82","64","15","15","-2","39","15","9",,,,"13","11","0","34","2007","2004","24"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80392","-105.77789","140100010202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"59","59","87","17","17","-9","5","19","2","2nd Lowest",,,"22","22","6","39","2012","2005","20"
"Bettles FAA Airport","0761	","Alaska","ACIS","Yukon-Koyukuk","640","66.91666","-151.51666","190901012604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"17","15","1","49","2012","1994","69"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"121","94","100","50","49","-1","44","6","5",,,,"14","18","0","24","2012","2011","10"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-5","11","9","1","Lowest",,,"6","5","0","14","2014, 2021","2019","10"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"33","50","40","6","6","-2","33","15","5",,,,"6","4","0","23","2007, 2008","2001","22"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"30","38","27","5","5","-5","17","16","4",,,,"10","8","0","29","2007","2004","19"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"35","38","67","9","9","-13","5","21","1","Lowest",,,"23","21","8","49","2008, 2021","2001","22"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"63","60","80","16","17","-8","25","19","5",,,,"19","20","0","37","2017","2004","25"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"27","30","25","7","7","-7","0","24","1","Lowest",,,"11","10","3","21","2021","2011","24"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"42","45","19","7","8","-6","33","11","5",,,,"12","11","0","27","2007","2010","16"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","8","25","1","1","-11","14","19","3",,,,"13","12","0","55","2013, 2014","2001","22"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"59","56","91","18","19","-8","5","20","1","Lowest",,,"17","18","10","29","2020, 2021","2001","21"
"Big Sheep AM","1229	","Oregon","SNOLITE","Wallowa","6240","45.16842","-117.08631","170601020301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"11","10","5","21","2019","2012","9"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0",,"0","0","-4","29","13","1","Lowest",,,"6","4","0","18","2013, 2014, 2021, more","2006","18"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-11","0","20","1","Lowest",,,"11","11","0","35","2021","2005","20"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","30","8","1","Lowest",,,"3","3","0","7","2017, 2020, 2021, more","2013","11"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10880","39.76487","-107.35681","140100011401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","14",,,"58","61","93","13","14","-9","8","23","3",,,,"24","23","9","39","1999","2005","25"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"50","67","40","10","10","-2","42","12","6",,,,"8","6","0","34","2012","2010","20"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","26",,,"62","68","84","21","22","-12","18","24","4",,,,"42","38","22","82","1999, 2002","1994","29"
"Black Flat-U.M. Ck","348	","Utah","SNOTEL","Sevier","9414","38.6799","-111.59765","140700030101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-9","0","23","1","Lowest",,,"9","9","0","20","2021","2001","23"
"Black Mesa","1185	","Colorado","SNOTEL","Dolores","11580","37.78972","-108.18365","140300020103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","14",,,"74","74","88","19","20","-5","33","7","4",,,,"19","19","5","37","2017","2013","10"
"Black Mountain","1161	","Colorado","SNOTEL","Larimer","8920","40.888","-105.66397","101900070501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"47","50","100","13","14","-7","9","11","2","2nd Lowest",,,"15","14","5","28","2012","2019","12"
"Black Pine","349	","Montana","SNOTEL","Granite","7210","46.414","-113.43095","170102020203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"18","18","50","4","5","-9","0","21","1","Lowest",,,"11","11","2","22","2021","2005","21"
