"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Sleeping Woman","783	","Montana","SNOTEL","Sanders","6150","47.17902","-114.33368","170102120708	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"53","62","100","14","14","-5","11","18","2","2nd Lowest",,,"15","13","5","27","2008","2005","20"
"Slug Creek Divide","761	","Idaho","SNOTEL","Caribou","7225","42.56248","-111.29797","170402070201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"17","17","29","4","4","-10","5","19","2","2nd Lowest",,,"12","12","1","30","2007","2005","20"
"Slumgullion","762	","Colorado","SNOTEL","Hinsdale","11560","37.9908","-107.20327","140200020502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"37","37","78","12","12","-12","0","19","1","Lowest",,,"19","19","7","29","2021","2004, 2013","19"
"Smiley Mountain","926	","Idaho","SNOTEL","Custer","9520","43.72718","-113.83402","170402180102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","16",,,"73","84","94","21","23","-3","35","14","7",,,,"22","19","11","51","2008","2012","21"
"Smith  Morehouse","763	","Utah","SNOTEL","Summit","7631","40.78931","-111.09192","160201010203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"31","33","67","8","8","-8","4","26","1","Lowest",,,"13","12","4","31","2017, 2021","2001","27"
"Smith Creek","1235	","Nevada","SNOLITE","Elko","7588","40.4467","-115.5114","160401030403	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"10","10","6","16","2017, 2020","2018","8"
"Smith Ridge","1167	","Oregon","SNOTEL","Linn","3270","44.30325","-122.04053","170900040203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,,"0","0","0","60","5","1","Lowest",,,"1","0","0","12","2019, 2020, 2021, more","2016","11"
"Snake River Station","764	","Wyoming","SNOTEL","Teton","6920","44.13361","-110.66917","170401010402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"24","25","57","6","6","-12","0","17","1","Lowest",,,"17","16","4","29","2021","2005","17"
"Snider Basin","765	","Wyoming","SNOTEL","Sublette","8060","42.4949","-110.53203","140401010906	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-14","0","20","1","Lowest",,,"14","14","0","27","2021","2005","20"
"Snow Mountain","767	","Oregon","SNOTEL","Harney","6230","43.94885","-119.54013","171200020501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","6","17","1","Lowest",,,"6","6","0","18","2012, 2021","2005","18"
"Snowbird","766	","Utah","SNOTEL","Salt Lake","9177","40.56914","-111.65852","160202040202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"65","71","89","15","16","-7","21","16","4",,,,"26","24","8","56","2009","2004","20"
"Snowslide Canyon","927	","Arizona","SNOTEL","Coconino","9730","35.3416","-111.65058","150200160201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"19","12","0","138","2017","1998","23"
"Snowstorm Mtn","1208	","Nevada","SNOTEL","Elko","7403","41.33981","-116.98044","160401090203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"10","11","2","16","2012","2015","9"
"Soldier Park","1132	","Wyoming","SNOTEL","Johnson","8720","44.34847","-107.0136","100902060103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","12","1","Lowest",,,"8","8","0","17","2021","2011","12"
"Soldier R.S.","769	","Idaho","SNOTEL","Camas","5740","43.48407","-114.82692","170402200303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","14","20","1","Lowest",,,"8","6","0","27","2008, 2013, 2021, more","2001","23"
"Somsen Ranch","770	","Idaho","SNOTEL","Caribou","6800","42.95275","-111.35933","170402070101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"18","18","67","4","4","-9","0","17","1","Lowest",,,"11","11","2","25","2021","2005","17"
"Sonora Pass","771	","California","SNOTEL","Mono","8770","38.31021","-119.6003","160503020104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"12","17","12","2","2","-10","4","23","2","2nd Lowest",,,"16","12","0","40","2007","2001","24"
"Sourdough Gulch","985	","Washington","SNOTEL","Asotin","4000","46.23718","-117.39438","170601030202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-1","33","15","1","Lowest",,,"2","1","0","8","2017, 2018, 2021, more","2006","22"
"South Brush Creek","772	","Wyoming","SNOTEL","Carbon","8440","41.32943","-106.50248","101800020303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"14","14","33","3","4","-12","0","18","1","Lowest",,,"14","14","2","29","2021","2010","18"
"South Colony","773	","Colorado","SNOTEL","Custer","10800","37.96811","-105.53787","110200011206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"33","40","55","6","8","-9","6","18","2","2nd Lowest",,,"18","15","4","39","2017","2013","19"
"South Fork Bull Run","925	","Oregon","SNOTEL","Clackamas","2690","45.44575","-122.03125","170800010504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0",,"0","0","-1","38","16","1","Lowest",,,"5","1","0","27","2019, 2020, 2021, more","2005","25"
"South Mtn.","774	","Idaho","SNOTEL","Owyhee","6500","42.76478","-116.90037","170501080205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","9","22","1","Lowest",,,"9","8","0","35","2008, 2012, 2021","2001","24"
"South Pass","775	","Wyoming","SNOTEL","Fremont","9040","42.57317","-108.84325","100800030101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"42","44","67","12","12","-10","0","19","1","Lowest",,,"19","18","8","30","2021","2010","19"
"Spencer Meadow","776	","Washington","SNOTEL","Skamania","3400","46.1795","-121.92661","170800020108	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-16","7","15","1","Lowest",,,"15","16","0","44","2008, 2021","2006","16"
"Spirit Lake","777	","Washington","SNOTEL","Skamania","3520","46.26113","-122.1772","170800050502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"4","1","0","18","2014, 2018, 2019, more","2016","15"
"Spirit Lk","1117	","Utah","SNOTEL","Daggett","10235","40.83868","-110.00527","140401060501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"44","44","88","13","12","-9","0","13","1","Lowest",,,"16","16","7","28","2021","2019","13"
"Spratt Creek","778	","California","SNOTEL","Alpine","6063","38.66627","-119.81741","160502010107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-1","45","13","1","Lowest",,,"3","1","0","17","2012, 2014, 2021, more","2001","23"
"Spring Creek","2044	","Alaska","SNOTEL","Matanuska-Susitna","580","61.65722","-149.12853","190204020709	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"160","160","89","89","89","3","100","1","4","Highest",,,"5","5","2","8","2018","2021","4"
"Spring Creek Divide","779	","Wyoming","SNOTEL","Sublette","9000","42.52516","-110.66148","140401011001	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"63","65","89","19","20","-9","0","20","1","Lowest",,,"27","26","17","42","2021","2005, 2010","20"
"Spruce Springs","984	","Washington","SNOTEL","Garfield","5700","46.18287","-117.54155","170601030201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","5","21","1","Lowest",,,"10","10","0","32","2002, 2021","2001","22"
"Spud Mountain","780	","Colorado","SNOTEL","San Juan","10660","37.69866","-107.77715","140801040202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"5","6","9","1","1","-16","6","17","1","Lowest",,,"19","17","1","46","2017, 2021","2004","18"
"Spur Park","781	","Montana","SNOTEL","Judith Basin","8100","46.77962","-110.62165","100401030301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"48","46","100","15","15","-14","5","22","2","2nd Lowest",,,"25","26","10","46","2016","2005","23"
"Spuzzum Creek","1D19P	","British Columbia","Cooperator Snow Sensors","	","3927","49.65","-121.65","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"27","29","38","7","7","-27","22","15","5",,,,"41","38","0","130","2019","2003","19"
"Squamish Upper","3A25P	","British Columbia","Cooperator Snow Sensors","	","4551","50.15","-123.43333","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"59","41","15","250","2008","2010","21"
"Squaw Flat","782	","Idaho","SNOTEL","Adams","6240","44.77091","-116.24805","170501240401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"25","27","80","5","6","-11","0","20","1","Lowest",,,"16","15","4","31","2021","2005","20"
"St. Lawrence Alt","786	","Wyoming","SNOTEL","Fremont","8620","43.03313","-109.17025","100800020105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","18","1","Lowest",,,"8","8","0","17","2021","2011","18"
"Stag Mountain","1203	","Nevada","SNOTEL","Elko","7640","41.408","-115.4464","170501020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"3","3","0","11","2012, 2020","2018","9"
"Stahl Peak","787	","Montana","SNOTEL","Lincoln","6030","48.90902","-114.86298","170101010801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","34",,,"92","97","87","30","30","-1","44","11","9",,,,"37","35","15","64","2008","2016","19"
"Stampede Pass","788	","Washington","SNOTEL","King","3850","47.27427","-121.34162","171100130103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"16","13","0","38","2002, 2019","2003","17"
"Starr Ridge","789	","Oregon","SNOTEL","Grant","5250","44.26423","-119.02162","171200020102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","6","16","1","Lowest",,,"5","4","0","15","2012, 2021","2005","17"
"State Line","1258	","California","SNOTEL","Modoc","5680","41.98609","-120.71574","180102040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"2","2","0","5","2014, 2020","2015, 2018","7"
"State Line AM","993	","California","SNOLITE","Modoc","5680","41.9869","-120.7151","180102040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,,,"0","0","0","0","0","2","1","Lowest",,,"0","0","0","1","2021","2020","2"
"Steel Creek Park","790	","Utah","SNOTEL","Summit","10158","40.90862","-110.50462","140401070203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"39","37","64","11","11","-12","0","23","1","Lowest",,,"18","19","7","25","2021","2004, 2005, 2013","23"
"Stevens Pass","791	","Washington","SNOTEL","King","3950","47.74607","-121.09288","171100090102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"30","27","37","6","6","-19","18","15","4",,,,"23","26","0","43","2002","2012","18"
"Stickney Mill","792	","Idaho","SNOTEL","Custer","7430","43.86117","-114.20902","170402180303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","8","1","Lowest",,,"8","8","0","18","2021","2012","8"
"Stillwater Creek","793	","Colorado","SNOTEL","Grand","8720","40.22543","-105.91977","140100010306	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0",,"0","0","-10","11","17","1","Lowest",,,"18","10","0","190","2009, 2012, 2021","2007","19"
"Strawberry","794	","Oregon","SNOTEL","Lake","5770","42.12587","-120.8361","180102040501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0",,"0","0","-1","33","15","1","Lowest",,,"3","1","0","24","2013, 2014, 2021, more","2001","22"
"Strawberry Divide","795	","Utah","SNOTEL","Wasatch","8123","40.16483","-111.20665","140600040103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-12","0","19","1","Lowest",,,"13","12","0","27","2021","2005","19"
"Stringer Creek","1009	","Montana","SNOTEL","Meagher","6550","46.9269","-110.90198","100301030801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"13","14","40","4","4","-12","0","21","1","Lowest",,,"15","14","2","42","2021","2005","21"
"Stuart Mountain","901	","Montana","SNOTEL","Missoula","7400","46.99523","-113.92664","170102040102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","22",,,"73","79","100","22","22","-6","21","16","3",,,,"30","28","13","50","2002","2005","20"
"Stump Lakes","797	","Colorado","SNOTEL","San Juan","11200","37.47621","-107.63295","140801040702	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"25","26","83","6","7","-14","0","22","1","Lowest",,,"20","19","5","42","2021","2004","22"
"Sucker Creek","798	","Wyoming","SNOTEL","Sheridan","8880","44.7225","-107.40033","100901010203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"79","83","100","24","26","-3","22","15","5",,,,"19","18","10","32","2015","2011","19"
"Sugarloaf Mtn","1095	","Alaska","SNOTEL","Valdez-Cordova","550","61.081","-146.2995","190202011101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"24","25","5","41","2012","2011","14"
"Summer Rim","800	","Oregon","SNOTEL","Lake","7080","42.6957","-120.80158","180102020103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","19","1","Lowest",,,"11","8","0","36","2021","2005","19"
"Summit Creek","955	","Alaska","SNOTEL","Kenai Peninsula","1400","60.61713","-149.53128","190203020401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"13","12","0","27","2002","2009","19"
"Summit Lake","801	","Oregon","SNOTEL","Klamath","5610","43.44907","-122.13808","170703020203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"10","10","25","2","2","-18","0","16","1","Lowest",,,"20","20","2","45","2021","2010","16"
"Summit Lk","1194	","Nevada","SNOTEL","Humboldt","7615","41.48953","-118.99663","160402021301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-7","0","11","1","Lowest",,,"7","7","0","12","2021","2012","11"
"Summit Meadow","1052	","California","SNOTEL","Alpine","9313","38.39747","-119.53522","160503020203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-12","6","18","1","Lowest",,,"12","12","0","26","2006, 2021","2004","19"
"Summit Ranch","802	","Colorado","SNOTEL","Summit","9400","39.71796","-106.15802","140100020502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","7","20","1","2","-13","0","19","1","Lowest",,,"13","14","1","29","2021","2005","19"
"Sun Pass","1078	","Oregon","SNOTEL","Klamath","5400","42.78637","-121.97715","180102010602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","20","13","1","Lowest",,,"8","8","0","28","2012, 2013, 2021, more","2010","16"
"Sunflower Flat","1249	","Utah","SNOTEL","Garfield","10018","38.048","-111.33981","140700030406	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"55","100","50","13","14","0","50","5","5",,,,"11","6","0","30","2017","2013","9"
"Sunset","803	","Idaho","SNOTEL","Shoshone","5540","47.55545","-115.82422","170103020102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-11","0","10","1","Lowest",,,"10","11","0","20","2021","2016","10"
"Surprise Lakes","804	","Washington","SNOTEL","Skamania","4290","46.09497","-121.76345","170800020107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"8","8","12","2","1","-23","13","14","2","2nd Lowest",,,"24","25","1","52","2008","2006","16"
"Susitna Valley High","967	","Alaska","SNOTEL","Matanuska-Susitna","375","62.13333","-150.04167","190205050105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"83","77","100","15","28","-3","35","14","8",,,,"12","13","2","28","2002","2004","21"
"Suu Ranch","1248	","Utah","SNOTEL","Iron","8050","37.59711","-112.92949","160300060306	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-9","12","8","1","Lowest",,,"9","9","0","33","2017, 2021","2019","9"
"Swamp Creek","975	","Washington","SNOTEL","Skagit","3930","48.57142","-120.78267","171100050503	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"31","33","40","6","6","-8","15","18","4",,,,"13","12","0","33","2002, 2008","2003","21"
"Swan Lake Mtn","1077	","Oregon","SNOTEL","Klamath","6830","42.41323","-121.68002","180102040802	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"9","8","12","2","1","-11","13","14","2","2nd Lowest",,,"11","12","0","28","2008","2010","16"
"Swede Peak","805	","Idaho","SNOTEL","Blaine","7640","43.626","-113.96887","170402210301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"17","20","40","4","4","-8","7","14","1","Lowest",,,"12","10","2","35","2008, 2021","2012","15"
"Swift Creek","1012	","Washington","SNOTEL","Skamania","4440","46.1638","-122.18402","170800020304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"12","11","14","2","2","-32","17","16","3",,,,"32","36","0","74","2014","2016","19"
"Sylvan Lake","806	","Wyoming","SNOTEL","Park","8420","44.47764","-110.15651","100700010404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"39","38","75","13","14","-15","0","19","1","Lowest",,,"23","24","9","33","2021","2018","19"
"Sylvan Road","807	","Wyoming","SNOTEL","Park","7120","44.47825","-110.03808","100800120103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","7","14","2","2","-14","0","19","1","Lowest",,,"14","15","1","23","2021","2013","19"
"TV Ridge AM","1230	","Oregon","SNOLITE","Wallowa","7050","45.39608","-117.38919","170601050203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-7","0","9","1","Lowest",,,"5","7","0","10","2021","2013","9"
"Tahoe City Cross","809	","California","SNOTEL","Placer","6797","39.17162","-120.15362","160501010101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","28","14","1","Lowest",,,"5","3","0","17","2012, 2014, 2021, more","2010","19"
"Takka Wiiya","1247	","Utah","SNOTEL","Juab","9122","39.74104","-113.98262","160203060804	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"30","30","33","7","7","-7","12","8","2","2nd Lowest",,,"10","10","1","18","2017","2019","9"
"Taos Powderhorn","1168	","New Mexico","SNOTEL","Taos","11057","36.58203","-105.45611","130201010701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"24","21","67","5","6","-15","9","11","2","2nd Lowest",,,"17","19","3","32","2017","2011","12"
"Taos Pueblo","1307	","New Mexico","SNOTEL","Colfax","11020","36.54099","-105.35944","130201010602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"100","100","25",,,"0",,"1","1",,,,"1","1","1","1","2021","2021","1"
"Taylor Butte","810	","Oregon","SNOTEL","Klamath","5030","42.69108","-121.42592","180102020606	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","10","20","1","Lowest",,,"5","3","0","30","2013, 2014, 2021","2001","22"
"Taylor Canyon","811	","Nevada","SNOTEL","Elko","6325","41.2287","-116.0293","170501050105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"2","2","0","5","2016, 2017, 2020, more","2018","17"
"Taylor Green","812	","Oregon","SNOTEL","Baker","5740","45.07707","-117.55067","170601040502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"9","9","20","2","2","-10","5","22","2","2nd Lowest",,,"11","11","0","29","2002","2001","23"
"Telaquana Lake","1266	","Alaska","SNOTEL","Bethel","1275","60.98243","-153.91772","190304052303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"38","38","100","14","12","-5","14","7","2","2nd Lowest",,,"8","8","2","15","2016","2015","8"
"Temple Fork","1013	","Utah","SNOTEL","Cache","7406","41.793","-111.54605","160102030303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","7","17","2","2","-14","0","21","1","Lowest",,,"15","15","1","28","2021","2001","21"
"Tenquille Lake","1D06P	","British Columbia","Cooperator Snow Sensors","	","5476","50.53333","-122.91667","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"41","38","13","63","2002","2006, 2012","12"
"Tent Mtn Lower","1202	","Nevada","SNOTEL","Elko","7100","40.97852","-115.17215","160401010704	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","11","9","1","Lowest",,,"5","6","0","15","2012, 2021","2015","10"
"Tent Mtn Upper","1201	","Nevada","SNOLITE","Elko","8333","40.96535","-115.16458","160401010704	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"71","71","71","15","15","-4","11","9","2","2nd Lowest",,,"14","14","8","22","2013","2015","10"
"Tepee Creek","813	","Montana","SNOTEL","Madison","8000","44.78562","-111.71","100200070602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"53","57","73","16","15","-6","0","20","1","Lowest",,,"15","14","8","25","2021","2007","20"
"Teuchet Creek","951	","Alaska","SNOTEL","Fairbanks North Star","1640","64.94583","-145.51667","190803060301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"130","118","100","54","54","2","92","2","12","2nd Highest",,,"10","11","5","14","2016","2015","13"
"Thaynes Canyon","814	","Utah","SNOTEL","Summit","9230","40.6235","-111.53322","160201020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"57","63","86","15","15","-7","17","21","3",,,,"21","19","8","40","1999","2004","25"
"Thistle Flat","1226	","Utah","SNOTEL","Sanpete","8787","39.23803","-111.51998","160300040501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","0","10","1","Lowest",,,"10","10","0","22","2021","2018","10"
"Three Creeks Meadow","815	","Oregon","SNOTEL","Deschutes","5690","44.14425","-121.64095","170703010601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-9","7","15","1","Lowest",,,"10","9","0","23","2017, 2021","2006","16"
"Thumb Divide","816	","Wyoming","SNOTEL","Teton","7980","44.36917","-110.57717","100700010409	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"33","38","67","10","10","-10","0","18","1","Lowest",,,"18","16","6","33","2021","2012","18"
"Thunder Basin","817	","Washington","SNOTEL","Skagit","4320","48.52753","-120.9895","171100050702	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"22","24","1","42","2019","2012","15"
"Tie Creek","818	","Wyoming","SNOTEL","Sheridan","6870","44.81243","-107.41017","100901010205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"50","50","23","10","10","-3","27","17","7",,,,"6","6","0","18","2007, 2009, 2012, more","2011","23"
"Timber Creek","819	","Wyoming","SNOTEL","Park","7950","44.0274","-109.17879","100800090210	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-7","0","19","1","Lowest",,,"7","7","0","16","2021","2011","19"
"Timberline","1097	","Utah","SNOTEL","Carbon","8736","39.67712","-110.43395","140600070903	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","0","15","1","Lowest",,,"8","4","0","22","2021","2019","15"
"Timpanogos Divide","820	","Utah","SNOTEL","Utah","8140","40.42817","-111.61633","160202010802	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-15","0","26","1","Lowest",,,"15","15","0","35","2021","2001","26"
"Tinkham Creek","899	","Washington","SNOTEL","King","2990","47.33198","-121.46975","171100120101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"40","35","75","7","7","-11","38","11","7",,,,"15","17","0","39","2008, 2019","2006","17"
"Tipton","821	","Oregon","SNOTEL","Baker","5150","44.65567","-118.42617","170502020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","12","25","2","2","-7","8","23","3",,,,"14","8","0","142","2002, 2008","1996","25"
"Tizer Basin","893	","Montana","SNOTEL","Jefferson","6880","46.34937","-111.85308","100301010701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"23","23","100","7","8","-10","0","22","1","Lowest",,,"13","13","3","26","2021","2011","22"
"Toe Jam","1136	","Nevada","SNOTEL","Elko","7690","41.3187","-116.3408","160401060202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-11","0","13","1","Lowest",,,"12","11","0","28","2021","2010","13"
"Togwotee Pass","822	","Wyoming","SNOTEL","Teton","9580","43.74902","-110.0578","100800010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","19",,,"59","66","83","22","24","-10","9","21","3",,,,"32","29","17","52","1999","2017","23"
"Tok","2080	","Alaska","SNOTEL","Southeast Fairbanks","1630","63.3532","-142.98164","190803020903	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"111","100","83","59","62","0","67","3","3",,,,"9","10","5","13","2015","2013","7"
"Toketee Airstrip","1044	","Oregon","SNOTEL","Douglas","3240","43.22718","-122.42537","171003010404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,,"0","0","0","50","10","1","Lowest",,,"2","0","0","15","2015, 2020, 2021, more","2005","19"
"Tokositna Valley","1089	","Alaska","SNOTEL","Matanuska-Susitna","850","62.63","-150.77617","190205020903	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"25","29","6","45","2012, 2016","2019","15"
"Tolby","934	","New Mexico","SNOTEL","Colfax","10180","36.47493","-105.19468","110800020107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","4","23","1","Lowest",,,"7","8","0","17","2012, 2021","2011","24"
"Tony Grove Lake","823	","Utah","SNOTEL","Cache","8474","41.89833","-111.62957","160102030304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"29","29","80","8","8","-20","0","24","1","Lowest",,,"28","28","8","55","2021","2005","24"
"Tony Grove RS","1113	","Utah","SNOTEL","Cache","6332","41.88573","-111.56918","160102030304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","8","12","1","Lowest",,,"7","6","0","15","2012, 2021","2011, 2018","13"
